
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
-1.12336606e-01, 4.83101463e+00, 4.99999970e-02, 8.12035147e-03, 1.08935070e+00, 4.74685291e-03
-2.42826883e-02, 5.00000000e+00, 4.99999970e-02, 5.62048890e-03, 1.09160209e+00, -1.08420217e-19
8.05498287e-02, 4.86766148e+00, 4.99999970e-02, 2.41947267e-03, 1.09456611e+00, 3.77995288e-03
1.74742773e-01, 5.00000000e+00, 4.99999970e-02, -2.92314799e-04, 1.09720016e+00, -1.08420217e-19
2.40769088e-01, 4.83135843e+00, 4.99999970e-02, -2.31788075e-03, 1.09929323e+00, 4.36998857e-03
3.73768240e-01, 5.00000000e+00, 4.99999970e-02, -6.05859375e-03, 1.10257709e+00, -2.16840434e-19
4.44250375e-01, 4.83737659e+00, 4.99999970e-02, -8.41386709e-03, 1.10483444e+00, 4.48413985e-03
5.72793722e-01, 5.00000000e+00, 4.99999970e-02, -1.19272042e-02, 1.10784554e+00, -1.08420217e-19
6.67389393e-01, 4.81616592e+00, 4.99999970e-02, -1.48419654e-02, 1.11043942e+00, 4.54817666e-03
7.71819174e-01, 5.00000000e+00, 4.99999970e-02, -1.74254626e-02, 1.11279869e+00, 0.00000000e+00
8.89974415e-01, 4.80749655e+00, 4.99999970e-02, -2.06192229e-02, 1.11557329e+00, 4.29420592e-03
9.70844626e-01, 5.00000000e+00, 4.99999970e-02, -2.24432573e-02, 1.11729264e+00, 0.00000000e+00
1.08899987e+00, 4.80749655e+00, 4.99999970e-02, -2.53942702e-02, 1.11986196e+00, 3.70676257e-03
1.16987014e+00, 5.00000000e+00, 4.99999970e-02, -2.68868320e-02, 1.12126899e+00, -5.42101086e-20
9.19079208e+00, 4.86727619e+00, 4.99999970e-02, -1.27844047e-03, 1.09922123e+00, -9.37535311e-04
9.32999992e+00, 5.00000000e+00, 4.99999970e-02, -5.01419650e-04, 1.09906924e+00, 0.00000000e+00
9.13088894e+00, 5.00000000e+00, 4.99999970e-02, -1.78179925e-03, 1.09968281e+00, 0.00000000e+00
1.27988315e+00, 4.85596657e+00, 4.99999970e-02, -2.94804852e-02, 1.12354124e+00, 2.79936916e-03
1.36889553e+00, 5.00000000e+00, 4.99999970e-02, -3.08629777e-02, 1.12481618e+00, -1.08420217e-19
1.45852172e+00, 4.87285280e+00, 4.99999970e-02, -3.24820764e-02, 1.12649536e+00, 2.10153824e-03
1.56792104e+00, 5.00000000e+00, 4.99999970e-02, -3.43891531e-02, 1.12808490e+00, -5.42101086e-20
1.65441954e+00, 4.78886318e+00, 4.99999970e-02, -3.61380167e-02, 1.12970960e+00, 3.00309341e-03
1.76694655e+00, 5.00000000e+00, 4.99999970e-02, -3.75850052e-02, 1.13097966e+00, 0.00000000e+00
1.87987900e+00, 4.86078262e+00, 4.99999970e-02, -3.93050238e-02, 1.13236308e+00, 1.68800098e-03
1.96597195e+00, 5.00000000e+00, 4.99999970e-02, -4.03170474e-02, 1.13336205e+00, -5.42101086e-20
2.07562208e+00, 4.79924870e+00, 4.99999970e-02, -4.17240113e-02, 1.13468826e+00, 1.97758735e-03
2.16499734e+00, 5.00000000e+00, 4.99999970e-02, -4.24993858e-02, 1.13529992e+00, -5.42101086e-20
2.28076601e+00, 4.80247736e+00, 4.99999970e-02, -4.37947959e-02, 1.13653600e+00, 1.45653530e-03
2.36402297e+00, 5.00000000e+00, 4.99999970e-02, -4.42555211e-02, 1.13685679e+00, -2.71050543e-20
2.48996830e+00, 4.80192995e+00, 4.99999970e-02, -4.52827625e-02, 1.13791311e+00, 1.10544020e-03
2.56304836e+00, 5.00000000e+00, 4.99999970e-02, -4.55451086e-02, 1.13801956e+00, -5.42101086e-20
2.69917083e+00, 4.80138206e+00, 4.99999970e-02, -4.63940650e-02, 1.13886070e+00, 7.42481032e-04
2.76207376e+00, 5.00000000e+00, 4.99999970e-02, -4.64137569e-02, 1.13881636e+00, -2.71050543e-20
2.88161087e+00, 4.80138206e+00, 4.99999970e-02, -4.69444916e-02, 1.13943088e+00, 4.21898236e-04
2.96109939e+00, 5.00000000e+00, 4.99999970e-02, -4.69019637e-02, 1.13927412e+00, -6.77626358e-21
3.06405091e+00, 4.80138206e+00, 4.99999970e-02, -4.72420864e-02, 1.13973594e+00, 1.46253893e-04
3.16012478e+00, 5.00000000e+00, 4.99999970e-02, -4.70823683e-02, 1.13943219e+00, -6.77626358e-21
3.26307631e+00, 4.80138206e+00, 4.99999970e-02, -4.71985526e-02, 1.13973534e+00, -1.30512155e-04
