
[Name]
cyld2

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ]
2.75014448e+00, -4.33096141e-01, 9.99999940e-02, -8.33015963e-02
2.75014448e+00, -4.33096141e-01, -9.99999940e-02, -8.33015963e-02
2.77202511e+00, -4.45002794e-01, 9.99999940e-02, -9.40885097e-02
2.77202511e+00, -4.45002794e-01, -9.99999940e-02, -9.40885097e-02
2.79447889e+00, -4.55808133e-01, 9.99999940e-02, -1.05725363e-01
2.79447889e+00, -4.55808133e-01, -9.99999940e-02, -1.05725363e-01
2.81745696e+00, -4.65486854e-01, 9.99999940e-02, -1.18027836e-01
2.81745696e+00, -4.65486854e-01, -9.99999940e-02, -1.18027836e-01
2.84088230e+00, -4.74005848e-01, 9.99999940e-02, -1.30800262e-01
2.84088230e+00, -4.74005848e-01, -9.99999940e-02, -1.30800262e-01
2.86468434e+00, -4.81341541e-01, 9.99999940e-02, -1.43843412e-01
2.86468434e+00, -4.81341541e-01, -9.99999940e-02, -1.43843412e-01
2.88882995e+00, -4.87484574e-01, 9.99999940e-02, -1.56953931e-01
2.88882995e+00, -4.87484574e-01, -9.99999940e-02, -1.56953931e-01
2.91327214e+00, -4.92420852e-01, 9.99999940e-02, -1.69929773e-01
2.91327214e+00, -4.92420852e-01, -9.99999940e-02, -1.69929773e-01
2.93795705e+00, -4.96135741e-01, 9.99999940e-02, -1.82578057e-01
2.93795705e+00, -4.96135741e-01, -9.99999940e-02, -1.82578057e-01
2.96281075e+00, -4.98615026e-01, 9.99999940e-02, -1.94719911e-01
2.96281075e+00, -4.98615026e-01, -9.99999940e-02, -1.94719911e-01
2.98770738e+00, -4.99848872e-01, 9.99999940e-02, -2.06193924e-01
2.98770738e+00, -4.99848872e-01, -9.99999940e-02, -2.06193924e-01
3.01261711e+00, -4.99840796e-01, 9.99999940e-02, -2.16853186e-01
3.01261711e+00, -4.99840796e-01, -9.99999940e-02, -2.16853186e-01
3.03751493e+00, -4.98590648e-01, 9.99999940e-02, -2.26598322e-01
3.03751493e+00, -4.98590648e-01, -9.99999940e-02, -2.26598322e-01
3.06236744e+00, -4.96095061e-01, 9.99999940e-02, -2.35284328e-01
3.06236744e+00, -4.96095061e-01, -9.99999940e-02, -2.35284328e-01
3.08704901e+00, -4.92364168e-01, 9.99999940e-02, -2.42828339e-01
3.08704901e+00, -4.92364168e-01, -9.99999940e-02, -2.42828339e-01
3.11148810e+00, -4.87411916e-01, 9.99999940e-02, -2.49227554e-01
3.11148810e+00, -4.87411916e-01, -9.99999940e-02, -2.49227554e-01
3.13562989e+00, -4.81253088e-01, 9.99999940e-02, -2.54443794e-01
3.13562989e+00, -4.81253088e-01, -9.99999940e-02, -2.54443794e-01
3.15942764e+00, -4.73901749e-01, 9.99999940e-02, -2.58491069e-01
3.15942764e+00, -4.73901749e-01, -9.99999940e-02, -2.58491069e-01
3.18285608e+00, -4.65363979e-01, 9.99999940e-02, -2.61419415e-01
3.18285608e+00, -4.65363979e-01, -9.99999940e-02, -2.61419415e-01
3.20582891e+00, -4.55669284e-01, 9.99999940e-02, -2.63325304e-01
3.20582891e+00, -4.55669284e-01, -9.99999940e-02, -2.63325304e-01
3.22827554e+00, -4.44848597e-01, 9.99999940e-02, -2.64221489e-01
3.22827554e+00, -4.44848597e-01, -9.99999940e-02, -2.64221489e-01
3.25014639e+00, -4.32928205e-01, 9.99999940e-02, -2.64039040e-01
3.25014639e+00, -4.32928205e-01, -9.99999940e-02, -2.64039040e-01
3.27143407e+00, -4.19909030e-01, 9.99999940e-02, -2.62906551e-01
3.27143407e+00, -4.19909030e-01, -9.99999940e-02, -2.62906551e-01
3.29207206e+00, -4.05824959e-01, 9.99999940e-02, -2.61051595e-01
3.29207206e+00, -4.05824959e-01, -9.99999940e-02, -2.61051595e-01
3.31194639e+00, -3.90754908e-01, 9.99999940e-02, -2.58565903e-01
3.31194639e+00, -3.90754908e-01, -9.99999940e-02, -2.58565903e-01
3.33101702e+00, -3.74736965e-01, 9.99999940e-02, -2.55492568e-01
3.33101702e+00, -3.74736965e-01, -9.99999940e-02, -2.55492568e-01
3.34926605e+00, -3.57789278e-01, 9.99999940e-02, -2.51908302e-01
3.34926605e+00, -3.57789278e-01, -9.99999940e-02, -2.51908302e-01
3.36664891e+00, -3.39953899e-01, 9.99999940e-02, -2.47909740e-01
3.36664891e+00, -3.39953899e-01, -9.99999940e-02, -2.47909740e-01
3.38312221e+00, -3.21274728e-01, 9.99999940e-02, -2.43589133e-01
3.38312221e+00, -3.21274728e-01, -9.99999940e-02, -2.43589133e-01
3.39864945e+00, -3.01792175e-01, 9.99999940e-02, -2.39031136e-01
3.39864945e+00, -3.01792175e-01, -9.99999940e-02, -2.39031136e-01
3.41322851e+00, -2.81499803e-01, 9.99999940e-02, -2.34330654e-01
3.41322851e+00, -2.81499803e-01, -9.99999940e-02, -2.34330654e-01
3.42676187e+00, -2.60526955e-01, 9.99999940e-02, -2.29581147e-01
3.42676187e+00, -2.60526955e-01, -9.99999940e-02, -2.29581147e-01
3.43921590e+00, -2.38933712e-01, 9.99999940e-02, -2.24881962e-01
3.43921590e+00, -2.38933712e-01, -9.99999940e-02, -2.24881962e-01
3.45056868e+00, -2.16766790e-01, 9.99999940e-02, -2.20300257e-01
3.45056868e+00, -2.16766790e-01, -9.99999940e-02, -2.20300257e-01
3.46081805e+00, -1.94027394e-01, 9.99999940e-02, -2.15901583e-01
3.46081805e+00, -1.94027394e-01, -9.99999940e-02, -2.15901583e-01
3.46991658e+00, -1.70816734e-01, 9.99999940e-02, -2.11906105e-01
3.46991658e+00, -1.70816734e-01, -9.99999940e-02, -2.11906105e-01
3.47784495e+00, -1.47187278e-01, 9.99999940e-02, -2.08298355e-01
3.47784495e+00, -1.47187278e-01, -9.99999940e-02, -2.08298355e-01
3.48458147e+00, -1.23210646e-01, 9.99999940e-02, -2.05046833e-01
3.48458147e+00, -1.23210646e-01, -9.99999940e-02, -2.05046833e-01
3.49012208e+00, -9.88961533e-02, 9.99999940e-02, -2.02267468e-01
3.49012208e+00, -9.88961533e-02, -9.99999940e-02, -2.02267468e-01
3.49444222e+00, -7.43437409e-02, 9.99999940e-02, -2.00034410e-01
3.49444222e+00, -7.43437409e-02, -9.99999940e-02, -2.00034410e-01
3.49753857e+00, -4.95518520e-02, 9.99999940e-02, -1.98435768e-01
3.49753857e+00, -4.95518520e-02, -9.99999940e-02, -1.98435768e-01
