
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
-4.00479221e+00, 5.00000000e+00, 4.99999970e-02, 1.11581922e-01, 1.00000000e+00, 0.00000000e+00
-3.93205571e+00, 4.78799343e+00, 4.99999970e-02, 1.11389793e-01, 1.00313365e+00, 1.10973464e-03
-3.80576658e+00, 5.00000000e+00, 4.99999970e-02, 1.10039517e-01, 1.00000000e+00, 0.00000000e+00
-3.69791412e+00, 4.78560686e+00, 4.99999970e-02, 1.09218806e-01, 1.00462759e+00, 1.32523559e-03
-3.60674119e+00, 5.00000000e+00, 4.99999970e-02, 1.08142361e-01, 1.00000000e+00, 0.00000000e+00
-3.50302076e+00, 4.79450941e+00, 4.99999970e-02, 1.07251197e-01, 1.00607634e+00, 1.44296221e-03
-3.40771556e+00, 5.00000000e+00, 4.99999970e-02, 1.06017120e-01, 1.00000000e+00, 0.00000000e+00
-3.30812740e+00, 4.80341196e+00, 4.99999970e-02, 1.05048716e-01, 1.00764358e+00, 1.53671636e-03
-3.20869017e+00, 5.00000000e+00, 4.99999970e-02, 1.03468835e-01, 1.00000000e+00, 0.00000000e+00
-3.10539269e+00, 4.78055048e+00, 4.99999970e-02, 1.02131620e-01, 1.00992179e+00, 1.90788030e-03
-3.00966477e+00, 5.00000000e+00, 4.99999970e-02, 1.00614846e-01, 1.00000000e+00, 0.00000000e+00
-2.92690134e+00, 4.83190298e+00, 4.99999970e-02, 9.94180590e-02, 1.01064086e+00, 1.46630278e-03
-2.81063914e+00, 5.00000000e+00, 4.99999970e-02, 9.75488573e-02, 1.00000000e+00, 0.00000000e+00
-2.75561166e+00, 4.73961401e+00, 4.99999970e-02, 9.68868434e-02, 1.01450670e+00, 2.94069760e-03
-2.61161375e+00, 5.00000000e+00, 4.99999970e-02, 9.37933475e-02, 1.00000000e+00, 0.00000000e+00
-2.52371383e+00, 4.74331236e+00, 4.99999970e-02, 9.19727311e-02, 1.01745844e+00, 3.10714659e-03
-2.41258836e+00, 5.00000000e+00, 4.99999970e-02, 8.95733535e-02, 1.00000000e+00, 0.00000000e+00
-2.31501985e+00, 4.75732231e+00, 4.99999970e-02, 8.76681507e-02, 1.02020442e+00, 3.02787567e-03
-2.21356273e+00, 5.00000000e+00, 4.99999970e-02, 8.52120221e-02, 1.00000000e+00, 0.00000000e+00
-2.09867167e+00, 4.77286148e+00, 4.99999970e-02, 8.28247294e-02, 1.02312255e+00, 3.09997424e-03
-2.01453733e+00, 5.00000000e+00, 4.99999970e-02, 8.04278255e-02, 1.00000000e+00, 0.00000000e+00
-1.89964616e+00, 4.77286148e+00, 4.99999970e-02, 7.75694475e-02, 1.02644980e+00, 3.21126636e-03
-1.81551194e+00, 5.00000000e+00, 4.99999970e-02, 7.52818286e-02, 1.00000000e+00, 0.00000000e+00
-1.69732428e+00, 4.76466513e+00, 4.99999970e-02, 7.21597075e-02, 1.02972615e+00, 3.21007823e-03
-1.61648643e+00, 5.00000000e+00, 4.99999970e-02, 6.98913410e-02, 1.00000000e+00, 0.00000000e+00
-1.50846934e+00, 4.78410053e+00, 4.99999970e-02, 6.67450503e-02, 1.03249991e+00, 3.08338366e-03
-1.41746092e+00, 5.00000000e+00, 4.99999970e-02, 6.41363487e-02, 1.00000000e+00, 0.00000000e+00
-1.30944395e+00, 4.78410053e+00, 4.99999970e-02, 6.07493669e-02, 1.03531992e+00, 2.88250181e-03
-1.21843553e+00, 5.00000000e+00, 4.99999970e-02, 5.79323098e-02, 1.00000000e+00, 0.00000000e+00
-1.11072445e+00, 4.80592871e+00, 4.99999970e-02, 5.42170927e-02, 1.03731346e+00, 2.46692961e-03
-1.01941001e+00, 5.00000000e+00, 4.99999970e-02, 5.16092815e-02, 1.00000000e+00, 0.00000000e+00
-9.30358946e-01, 4.82477999e+00, 4.99999970e-02, 4.80820350e-02, 1.03833520e+00, 1.84184324e-03
-8.20384562e-01, 5.00000000e+00, 4.99999970e-02, 4.51634154e-02, 1.00000000e+00, 0.00000000e+00
-7.41938055e-01, 4.83373976e+00, 4.99999970e-02, 4.21293341e-02, 1.04007590e+00, 1.56587537e-03
-6.21359110e-01, 5.00000000e+00, 4.99999970e-02, 3.81808318e-02, 1.00000000e+00, 0.00000000e+00
-5.25514364e-01, 4.83218813e+00, 4.99999970e-02, 3.47507261e-02, 1.04364061e+00, 1.74991088e-03
-4.22333628e-01, 5.00000000e+00, 4.99999970e-02, 3.06704044e-02, 1.00000000e+00, 0.00000000e+00
-3.11362088e-01, 4.83101463e+00, 4.99999970e-02, 2.66449731e-02, 1.04664111e+00, 1.76309224e-03
-2.23308161e-01, 5.00000000e+00, 4.99999970e-02, 2.34703273e-02, 1.00000000e+00, 0.00000000e+00
-1.12336606e-01, 4.83101463e+00, 4.99999970e-02, 1.94796678e-02, 1.04717147e+00, 1.38259411e-03
-2.42826883e-02, 5.00000000e+00, 4.99999970e-02, 1.69221386e-02, 1.00000000e+00, 0.00000000e+00
8.05498287e-02, 4.86766148e+00, 4.99999970e-02, 1.33783957e-02, 1.04241621e+00, 7.97727262e-04
1.74742773e-01, 5.00000000e+00, 4.99999970e-02, 1.05351573e-02, 1.00000000e+00, 0.00000000e+00
2.40769088e-01, 4.83135843e+00, 4.99999970e-02, 7.95626454e-03, 1.05032444e+00, 8.86571652e-04
3.73768240e-01, 5.00000000e+00, 4.99999970e-02, 3.98049876e-03, 1.00000000e+00, 0.00000000e+00
4.44250375e-01, 4.83737659e+00, 4.99999970e-02, 1.17015385e-03, 1.05465412e+00, 9.09125491e-04
5.72793722e-01, 5.00000000e+00, 4.99999970e-02, -2.77757063e-03, 1.00000000e+00, 0.00000000e+00
6.67389393e-01, 4.81616592e+00, 4.99999970e-02, -6.00620639e-03, 1.05910563e+00, 1.00434804e-03
7.71819174e-01, 5.00000000e+00, 4.99999970e-02, -9.06292163e-03, 1.00000000e+00, 0.00000000e+00
8.89974415e-01, 4.80749655e+00, 4.99999970e-02, -1.22508481e-02, 1.06193399e+00, 8.83113535e-04
9.70844626e-01, 5.00000000e+00, 4.99999970e-02, -1.44425761e-02, 1.00000000e+00, 0.00000000e+00
1.08899987e+00, 4.80749655e+00, 4.99999970e-02, -1.74584854e-02, 1.06101966e+00, 5.07025106e-04
1.16987014e+00, 5.00000000e+00, 4.99999970e-02, -1.92221813e-02, 1.00000000e+00, 0.00000000e+00
9.19079208e+00, 4.86727619e+00, 4.99999970e-02, -1.70631520e-03, 1.00872064e+00, -2.65579292e-04
9.32999992e+00, 5.00000000e+00, 4.99999970e-02, -8.12328653e-04, 1.00000000e+00, 0.00000000e+00
9.13088894e+00, 5.00000000e+00, 4.99999970e-02, -2.20099790e-03, 1.00000000e+00, 0.00000000e+00
1.27988315e+00, 4.85596657e+00, 4.99999970e-02, -2.21734978e-02, 1.05455101e+00, 4.75641718e-05
1.36889553e+00, 5.00000000e+00, 4.99999970e-02, -2.36349925e-02, 1.00000000e+00, 0.00000000e+00
1.45852172e+00, 4.87285280e+00, 4.99999970e-02, -2.56694891e-02, 1.04805541e+00, -2.04703698e-04
1.56792104e+00, 5.00000000e+00, 4.99999970e-02, -2.79706605e-02, 1.00000000e+00, 0.00000000e+00
1.65441954e+00, 4.78886318e+00, 4.99999970e-02, -3.00302114e-02, 1.06916142e+00, -3.46714602e-04
1.76694655e+00, 5.00000000e+00, 4.99999970e-02, -3.20259333e-02, 1.00000000e+00, 0.00000000e+00
1.87987900e+00, 4.86078262e+00, 4.99999970e-02, -3.40500101e-02, 1.05146575e+00, -4.79098177e-04
1.96597195e+00, 5.00000000e+00, 4.99999970e-02, -3.52738425e-02, 1.00000000e+00, 0.00000000e+00
2.07562208e+00, 4.79924870e+00, 4.99999970e-02, -3.68253216e-02, 1.06656921e+00, -7.29276740e-04
2.16499734e+00, 5.00000000e+00, 4.99999970e-02, -3.79622728e-02, 1.00000000e+00, 0.00000000e+00
2.28076601e+00, 4.80247736e+00, 4.99999970e-02, -3.94521281e-02, 1.06344974e+00, -8.75390775e-04
2.36402297e+00, 5.00000000e+00, 4.99999970e-02, -4.02143374e-02, 1.00000000e+00, 0.00000000e+00
2.48996830e+00, 4.80192995e+00, 4.99999970e-02, -4.14035693e-02, 1.06301486e+00, -1.04890403e-03
2.56304836e+00, 5.00000000e+00, 4.99999970e-02, -4.19387817e-02, 1.00000000e+00, 0.00000000e+00
2.69917083e+00, 4.80138206e+00, 4.99999970e-02, -4.28755172e-02, 1.06127870e+00, -1.23902597e-03
2.76207376e+00, 5.00000000e+00, 4.99999970e-02, -4.31176201e-02, 1.00000000e+00, 0.00000000e+00
2.88161087e+00, 4.80138206e+00, 4.99999970e-02, -4.37181182e-02, 1.05995619e+00, -1.31612818e-03
2.96109939e+00, 5.00000000e+00, 4.99999970e-02, -4.39089984e-02, 1.00000000e+00, 0.00000000e+00
3.06405091e+00, 4.80138206e+00, 4.99999970e-02, -4.45127524e-02, 1.05937767e+00, -1.48374808e-03
3.16012478e+00, 5.00000000e+00, 4.99999970e-02, -4.45080921e-02, 1.00000000e+00, 0.00000000e+00
3.26307631e+00, 4.80138206e+00, 4.99999970e-02, -4.48155403e-02, 1.05761039e+00, -1.59453694e-03
