"Points:0","Points:1","Points:2","U:0","U:1","U:2","p"
11.528,3.6348,0.005,1.0624,-0.010832,-7.8684e-21,-0.006352
12.755,3.9667,0.005,1.0603,-0.0089301,2.9463e-20,-0.0049269
10.159,3.2962,0.005,1.0654,-0.013473,2.0534e-21,-0.0086843
9.2068,3.2772,0.005,1.0681,-0.015002,-1.5373e-19,-0.011411
12.454,-0.26383,0.005,0.59661,0.0063524,8.8403e-21,-0.00058667
4.6873,2.9898,0.005,1.0985,-0.013338,-2.1776e-19,-0.043308
8.5001,-2.2452,0.005,1.0613,0.020866,1.487e-19,-0.011997
6.7187,-1.9987,0.005,1.0649,0.027732,7.9673e-19,-0.022627
-3.0896,-0.46869,0.005,0.94094,-0.017869,2.019e-18,0.12036
5.6728,-1.1031,0.005,0.83707,0.045006,5.0967e-19,-0.032076
-0.71761,3.8868,0.005,1.0481,0.063699,4.154e-19,0.0060688
15.286,4.4066,0.005,1.057,-0.0063584,4.1356e-21,-0.0027352
18.25,-0.19293,0.005,0.68611,0.0024356,1.799e-20,0.00047379
-6.5336,6.5572,0.005,1.0036,0.0085386,4.1106e-18,0.046203
16.775,-4.2602,0.005,1.0563,0.0056489,-5.4084e-21,-0.0015895
14.418,1.9494,0.005,1.0083,-0.011141,-4.6791e-20,-0.0010374
10.365,-1.0138,0.005,0.7971,0.021927,1.1033e-20,-0.0030064
2.6908,2.7602,0.005,1.1239,0.01351,-2.1845e-19,-0.070987
4.5752,1.3056,0.005,0.95851,-0.046305,-1.8437e-18,-0.054278
6.5019,0.43661,0.005,0.44798,-0.026308,-4.3007e-19,-0.019437
0.83076,-1.0561,0.005,1.0874,-0.078979,-3.3567e-18,-0.22041
-4.4334,-0.90506,0.005,0.97511,-0.013723,-3.8003e-18,0.087473
4.594,4.229,0.005,1.087,-0.0032571,1.1681e-18,-0.034103
15.003,-2.813,0.005,1.0546,0.0080607,1.0119e-20,-0.0016202
0.61604,3.7206,0.005,1.0823,0.057218,-4.9528e-19,-0.029318
-6.7288,-6.5009,0.005,1.0031,-0.0081453,-3.158e-19,0.046752
17.122,-0.1389,0.005,0.66812,0.001965,9.0432e-21,0.00045666
12.748,0.71025,0.005,0.70844,-0.013671,-3.7523e-22,-0.00061435
3.4672,4.3906,0.005,1.0892,0.0074963,-9.5463e-19,-0.036994
0.35572,2.2465,0.005,1.116,0.11416,-2.653e-18,-0.067696
6.6208,2.9034,0.005,1.0811,-0.019624,9.9129e-19,-0.024515
-1.0099,7.5162,0.005,1.0349,0.015124,6.621e-19,0.012485
4.1647,3.4007,0.005,1.0991,-0.0050198,2.0886e-19,-0.04486
1.6336,-2.8673,0.005,1.1219,-0.045328,1.99e-18,-0.069997
7.9751,2.6293,0.005,1.0719,-0.019812,-3.293e-19,-0.015418
19.34,0.085068,0.005,0.69426,-0.001006,-1.3379e-20,0.00032346
-0.44405,1.7363,0.005,1.0607,0.18197,7.5779e-20,-0.016834
11.066,-0.46104,0.005,0.60615,0.012289,-4.9254e-20,-0.0014914
-1.5368,0.61252,0.005,0.84557,0.10593,1.4711e-19,0.19999
4.5765,-2.5379,0.005,1.1035,0.018085,4.575e-19,-0.048158
16.481,3.1725,0.005,1.0564,-0.0065327,1.4166e-20,-0.0011423
3.4988,-1.7332,0.005,1.1131,0.024026,5.1322e-18,-0.080398
-0.27946,-0.96496,0.005,1.1003,-0.36109,5.4775e-21,-0.11167
0.42757,0.50689,0.005,0.12158,-0.00070171,1.3205e-19,-0.31165
15.15,3.2427,0.005,1.058,-0.007394,4.7022e-21,-0.0019363
9.8639,-3.6555,0.005,1.0659,0.012986,-1.3785e-20,-0.009958
2.4776,3.1786,0.005,1.1141,0.020819,-5.0364e-19,-0.061102
-1.5138,0.18437,0.005,0.79411,0.040038,7.9903e-19,0.24724
12.365,-4.5347,0.005,1.0598,0.0085708,2.7031e-19,-0.0060292
12.98,-3.2582,0.005,1.0604,0.0095648,-5.5399e-20,-0.0037995
14.47,-2.1738,0.005,1.0299,0.010206,-3.0812e-20,-0.0012726
13.161,-2.431,0.005,1.0489,0.010867,-8.9117e-22,-0.0024789
11.851,-2.6882,0.005,1.0588,0.012104,2.213e-21,-0.0043866
10.555,-2.9528,0.005,1.0639,0.013635,2.2168e-19,-0.0071397
13.891,7.1683,0.005,1.0532,-0.0042784,7.4205e-19,-0.005658
10.792,-2.3235,0.005,1.0526,0.015112,-1.3083e-20,-0.0053781
19.403,-3.8025,0.005,1.0556,0.0051443,-1.3387e-21,-0.00022628
6.3423,3.9725,0.005,1.0793,-0.012407,4.9567e-19,-0.025057
-2.2274,-2.8586,0.005,1.0024,-0.067823,-9.7871e-19,0.055086
-2.4471,-1.54,0.005,0.95636,-0.067827,-2.0874e-18,0.10264
19.402,-3.2518,0.005,1.0543,0.0054875,9.996e-22,-0.00017557
19.391,-1.3539,0.005,0.89525,0.0090607,-5.0851e-21,0.00024812
11.407,0.79349,0.005,0.72216,-0.017359,-1.0668e-19,-0.0017055
-2.8288,3.6956,0.005,1.0084,0.046612,9.2464e-20,0.048032
9.4382,-7.3214,0.005,1.0593,0.0051784,1.2169e-18,-0.012418
0.3409,0.57456,0.005,0.2584,-0.012291,-4.7226e-20,-0.32917
