
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], X [ m ], Y [ m ]
-1.91685390e+00, -4.81065559e+00, 4.99999970e-02, 7.83010796e-02, 1.02350807e+00, -2.13633967e-03, -1.91685390e+00, -4.81065559e+00
-2.01453233e+00, -5.00000000e+00, 4.99999970e-02, 8.07815045e-02, 1.00000000e+00, 0.00000000e+00, -2.01453233e+00, -5.00000000e+00
-2.11582780e+00, -4.82734919e+00, 4.99999970e-02, 8.32962990e-02, 1.02053308e+00, -2.02127220e-03, -2.11582780e+00, -4.82734919e+00
-2.21355772e+00, -5.00000000e+00, 4.99999970e-02, 8.56218785e-02, 1.00000000e+00, 0.00000000e+00, -2.21355772e+00, -5.00000000e+00
-2.31698275e+00, -4.81624889e+00, 4.99999970e-02, 8.80411565e-02, 1.01798725e+00, -1.95245503e-03, -2.31698275e+00, -4.81624889e+00
-2.41258311e+00, -5.00000000e+00, 4.99999970e-02, 9.00825560e-02, 1.00000000e+00, 0.00000000e+00, -2.41258311e+00, -5.00000000e+00
-2.51922750e+00, -4.81381893e+00, 4.99999970e-02, 9.23667029e-02, 1.01549971e+00, -1.85819401e-03, -2.51922750e+00, -4.81381893e+00
-2.61160874e+00, -5.00000000e+00, 4.99999970e-02, 9.41545665e-02, 1.00000000e+00, 0.00000000e+00, -2.61160874e+00, -5.00000000e+00
-2.70691705e+00, -4.83054018e+00, 4.99999970e-02, 9.60989073e-02, 1.01304221e+00, -1.64457911e-03, -2.70691705e+00, -4.83054018e+00
-2.81063414e+00, -5.00000000e+00, 4.99999970e-02, 9.77293849e-02, 1.00000000e+00, 0.00000000e+00, -2.81063414e+00, -5.00000000e+00
-2.89862967e+00, -4.81709957e+00, 4.99999970e-02, 9.92362276e-02, 1.01116037e+00, -1.57072209e-03, -2.89862967e+00, -4.81709957e+00
-3.00965953e+00, -5.00000000e+00, 4.99999970e-02, 1.00918710e-01, 1.00000000e+00, 0.00000000e+00, -3.00965953e+00, -5.00000000e+00
-3.09354258e+00, -4.81342888e+00, 4.99999970e-02, 1.02339096e-01, 1.00931728e+00, -1.56416243e-03, -3.09354258e+00, -4.81342888e+00
-3.20868516e+00, -5.00000000e+00, 4.99999970e-02, 1.03759430e-01, 1.00000000e+00, 0.00000000e+00, -3.20868516e+00, -5.00000000e+00
-3.30063629e+00, -4.82105446e+00, 4.99999970e-02, 1.05008788e-01, 1.00752282e+00, -1.41797436e-03, -3.30063629e+00, -4.82105446e+00
-3.40771055e+00, -5.00000000e+00, 4.99999970e-02, 1.06383100e-01, 1.00000000e+00, 0.00000000e+00, -3.40771055e+00, -5.00000000e+00
-3.54482985e+00, -4.76869059e+00, 4.99999970e-02, 1.08320467e-01, 1.00589871e+00, -1.53145811e-03, -3.54482985e+00, -4.76869059e+00
-3.60673594e+00, -5.00000000e+00, 4.99999970e-02, 1.08603537e-01, 1.00000000e+00, 0.00000000e+00, -3.60673594e+00, -5.00000000e+00
-5.00000000e+00, 4.79996061e+00, 4.99999970e-02, 1.15022346e-01, 1.00000000e+00, 0.00000000e+00, -5.00000000e+00, 4.79996061e+00
-4.80089378e+00, 5.00000000e+00, 4.99999970e-02, 1.14825249e-01, 1.00000000e+00, 0.00000000e+00, -4.80089378e+00, 5.00000000e+00
-5.00000000e+00, 5.00000000e+00, 4.99999970e-02, 1.14900418e-01, 1.00000000e+00, 0.00000000e+00, -5.00000000e+00, 5.00000000e+00
-3.70451522e+00, -4.87875319e+00, 4.99999970e-02, 1.09733500e-01, 1.00373876e+00, -7.11719855e-04, -3.70451522e+00, -4.87875319e+00
-3.80576158e+00, -5.00000000e+00, 4.99999970e-02, 1.10211357e-01, 1.00000000e+00, 0.00000000e+00, -3.80576158e+00, -5.00000000e+00
-3.85013413e+00, -4.87847996e+00, 4.99999970e-02, 1.10706523e-01, 1.00305533e+00, -5.90400887e-04, -3.85013413e+00, -4.87847996e+00
-4.00478697e+00, -5.00000000e+00, 4.99999970e-02, 1.11811310e-01, 1.00000000e+00, 0.00000000e+00, -4.00478697e+00, -5.00000000e+00
-4.13510370e+00, -4.81381178e+00, 4.99999970e-02, 1.12805404e-01, 1.00199664e+00, -7.21888791e-04, -4.13510370e+00, -4.81381178e+00
-4.20381260e+00, -5.00000000e+00, 4.99999970e-02, 1.13177329e-01, 1.00000000e+00, 0.00000000e+00, -4.20381260e+00, -5.00000000e+00
-4.32447052e+00, -4.82854462e+00, 4.99999970e-02, 1.13785274e-01, 1.00121987e+00, -5.15678024e-04, -4.32447052e+00, -4.82854462e+00
-4.40283775e+00, -5.00000000e+00, 4.99999970e-02, 1.13954604e-01, 1.00000000e+00, 0.00000000e+00, -4.40283775e+00, -5.00000000e+00
-4.48454332e+00, -4.85782528e+00, 4.99999970e-02, 1.14297509e-01, 1.00071073e+00, -3.45080509e-04, -4.48454332e+00, -4.85782528e+00
-4.60186338e+00, -5.00000000e+00, 4.99999970e-02, 1.14570826e-01, 1.00000000e+00, 0.00000000e+00, -4.60186338e+00, -5.00000000e+00
-4.77929878e+00, 4.75323391e+00, 4.99999970e-02, 1.14995673e-01, 1.00016785e+00, 2.81147630e-04, -4.77929878e+00, 4.75323391e+00
-4.60186863e+00, 5.00000000e+00, 4.99999970e-02, 1.14532001e-01, 1.00000000e+00, 0.00000000e+00, -4.60186863e+00, 5.00000000e+00
-4.55673409e+00, 4.76505899e+00, 4.99999970e-02, 1.14542879e-01, 1.00056517e+00, 5.01008646e-04, -4.55673409e+00, 4.76505899e+00
-4.40284300e+00, 5.00000000e+00, 4.99999970e-02, 1.13814473e-01, 1.00000000e+00, 0.00000000e+00, -4.40284300e+00, 5.00000000e+00
-4.25383902e+00, 4.87561321e+00, 4.99999970e-02, 1.13194235e-01, 1.00139666e+00, 4.33087756e-04, -4.25383902e+00, 4.87561321e+00
-4.20381737e+00, 5.00000000e+00, 4.99999970e-02, 1.12853087e-01, 1.00000000e+00, 0.00000000e+00, -4.20381737e+00, 5.00000000e+00
-4.10175467e+00, 4.87819195e+00, 4.99999970e-02, 1.12568349e-01, 1.00186706e+00, 5.12598141e-04, -4.10175467e+00, 4.87819195e+00
-4.00479221e+00, 5.00000000e+00, 4.99999970e-02, 1.11790210e-01, 1.00000000e+00, 0.00000000e+00, -4.00479221e+00, 5.00000000e+00
-3.93205571e+00, 4.78799343e+00, 4.99999970e-02, 1.11598112e-01, 1.00313401e+00, 1.10977585e-03, -3.93205571e+00, 4.78799343e+00
-3.80576658e+00, 5.00000000e+00, 4.99999970e-02, 1.10247716e-01, 1.00000000e+00, 0.00000000e+00, -3.80576658e+00, 5.00000000e+00
-3.69791412e+00, 4.78560686e+00, 4.99999970e-02, 1.09426945e-01, 1.00462806e+00, 1.32529263e-03, -3.69791412e+00, 4.78560686e+00
-3.60674119e+00, 5.00000000e+00, 4.99999970e-02, 1.08350441e-01, 1.00000000e+00, 0.00000000e+00, -3.60674119e+00, 5.00000000e+00
-3.50302076e+00, 4.79450941e+00, 4.99999970e-02, 1.07459106e-01, 1.00607693e+00, 1.44300808e-03, -3.50302076e+00, 4.79450941e+00
-3.40771556e+00, 5.00000000e+00, 4.99999970e-02, 1.06225029e-01, 1.00000000e+00, 0.00000000e+00, -3.40771556e+00, 5.00000000e+00
-3.30812740e+00, 4.80341196e+00, 4.99999970e-02, 1.05256438e-01, 1.00764430e+00, 1.53679401e-03, -3.30812740e+00, 4.80341196e+00
-3.20869017e+00, 5.00000000e+00, 4.99999970e-02, 1.03676692e-01, 1.00000000e+00, 0.00000000e+00, -3.20869017e+00, 5.00000000e+00
-3.10539269e+00, 4.78055048e+00, 4.99999970e-02, 1.02339312e-01, 1.00992286e+00, 1.90794899e-03, -3.10539269e+00, 4.78055048e+00
-3.00966477e+00, 5.00000000e+00, 4.99999970e-02, 1.00822613e-01, 1.00000000e+00, 0.00000000e+00, -3.00966477e+00, 5.00000000e+00
-2.92690134e+00, 4.83190298e+00, 4.99999970e-02, 9.96258184e-02, 1.01064205e+00, 1.46632397e-03, -2.92690134e+00, 4.83190298e+00
-2.81063914e+00, 5.00000000e+00, 4.99999970e-02, 9.77560431e-02, 1.00000000e+00, 0.00000000e+00, -2.81063914e+00, 5.00000000e+00
-2.75561166e+00, 4.73961401e+00, 4.99999970e-02, 9.70942006e-02, 1.01450849e+00, 2.94083147e-03, -2.75561166e+00, 4.73961401e+00
-2.61161375e+00, 5.00000000e+00, 4.99999970e-02, 9.40003619e-02, 1.00000000e+00, 0.00000000e+00, -2.61161375e+00, 5.00000000e+00
-2.52371383e+00, 4.74331236e+00, 4.99999970e-02, 9.21798050e-02, 1.01746058e+00, 3.10750608e-03, -2.52371383e+00, 4.74331236e+00
-2.41258836e+00, 5.00000000e+00, 4.99999970e-02, 8.97804797e-02, 1.00000000e+00, 0.00000000e+00, -2.41258836e+00, 5.00000000e+00
-2.31501985e+00, 4.75732231e+00, 4.99999970e-02, 8.78749490e-02, 1.02020681e+00, 3.02815274e-03, -2.31501985e+00, 4.75732231e+00
